date,D,H,H2,H3,H4,SinD,CosD,T
1995-10-02,11.36,64.68,4183.502400000001,270588.9352320001,17501692.330805767,-1.0,0.02,1361
1995-10-16,12.059999999999999,59.919999999999995,3590.4063999999994,215137.15148799994,12891018.117160955,-0.97,0.26,1375
1995-11-02,11.36,57.81999999999999,3343.152399999999,193301.07176799994,11176667.969625754,-0.85,0.53,1392
1995-11-13,10.45,57.74999999999999,3335.062499999999,192599.85937499994,11122641.878906244,-0.74,0.68,1403
1995-11-27,7.65,62.79,3942.5841,247554.855639,15543969.38557281,-0.55,0.83,1417
1995-12-12,6.25,60.339999999999996,3640.9155999999994,219692.84730399997,13256266.406323357,-0.32,0.95,1432
1995-12-27,3.66,67.96999999999998,4619.920899999998,314016.0235729998,21343669.12225679,-0.07,1.0,1447
1996-01-08,-1.8699999999999992,76.36999999999999,5832.376899999998,445418.6238529998,34016620.30365359,0.14,0.99,1459
1996-01-22,-2.219999999999999,75.03999999999999,5631.001599999999,422550.3600639999,31708179.019202545,0.37,0.93,1473
1996-02-05,-1.8699999999999992,72.30999999999999,5228.736099999998,378089.90739099984,27339681.203443192,0.58,0.81,1487
1996-02-21,-1.7300000000000004,70.77,5008.3929,354443.96553299995,25083999.440770403,0.78,0.63,1503
1996-03-04,-1.0299999999999994,69.23,4792.7929,331805.05246700003,22970863.782290414,0.89,0.45,1515
1996-03-18,0.3700000000000001,66.5,4422.25,294079.625,19556295.0625,0.97,0.23,1529
1996-04-02,-0.2599999999999998,69.86,4880.4196,340946.113256,23818495.47206416,1.0,-0.03,1544
1996-04-15,-0.049999999999998934,72.1,5198.409999999999,374805.3609999999,27023466.52809999,0.97,-0.25,1557
1996-04-30,-1.4220000000000006,73.99,5474.520099999999,405059.7421989999,29970370.325304,0.87,-0.49,1572
1996-05-15,-1.6600000000000001,74.83,5599.528899999999,419012.74758699996,31354723.90193521,0.72,-0.7,1587
1996-05-28,-0.8199999999999985,74.75999999999999,5589.057599999998,417837.9461759998,31237564.856117744,0.55,-0.84,1600
1996-06-11,1.9800000000000004,72.86999999999999,5310.036899999998,386942.38890299987,28196491.879361596,0.33,-0.94,1614
1996-06-25,4.15,73.28999999999999,5371.424099999999,393671.6722889999,28852196.862060796,0.09,-1.0,1628
1996-07-09,4.220000000000001,72.86999999999999,5310.036899999998,386942.38890299987,28196491.879361596,-0.15,-0.99,1642
1996-07-23,6.32,73.00999999999999,5330.460099999998,389176.8919009999,28413804.877691995,-0.38,-0.93,1656
1996-08-05,7.51,71.89,5168.1721,371539.892269,26710002.85521841,-0.57,-0.82,1669
1996-08-19,7.58,71.75,5148.0625,369373.484375,26502547.50390625,-0.75,-0.66,1683
1996-09-03,7.72,70.41999999999999,4958.976399999999,349211.1180879998,24591446.935756944,-0.9,-0.44,1698
1996-09-16,7.23,69.36999999999999,4812.196899999999,333822.09895299986,23157239.004369598,-0.97,-0.23,1711
1996-09-30,7.51,67.61999999999999,4572.464399999999,309190.04272799985,20907430.68926735,-1.0,0.0,1725
1996-10-15,7.86,63.489999999999995,4030.9800999999993,255926.92654899994,16248800.566596005,-0.97,0.26,1740
1996-10-28,8.07,62.16,3863.8655999999996,240177.88569599995,14929457.374863356,-0.88,0.47,1753
1996-11-11,6.95,61.04,3725.8815999999997,227427.81286399998,13882193.69721856,-0.75,0.66,1767
1996-11-25,3.7300000000000004,69.86,4880.4196,340946.113256,23818495.47206416,-0.57,0.82,1781
1996-12-09,4.15,63.559999999999995,4039.8735999999994,256774.36601599993,16320578.703976955,-0.35,0.94,1795
1996-12-26,4.15,62.36999999999999,3890.0168999999987,242620.3540529999,15132231.4822856,-0.07,1.0,1812
1997-01-06,3.3100000000000005,61.53,3785.9409,232948.94357700003,14333348.498292811,0.1,0.99,1823
1997-01-20,2.4699999999999998,64.19,4120.3561,264485.658059,16977334.390807208,0.34,0.94,1837
1997-02-03,1.910000000000001,65.52,4292.8704,281268.86860799993,18428736.271196157,0.55,0.83,1851
1997-02-17,0.3000000000000007,65.52,4292.8704,281268.86860799993,18428736.271196157,0.74,0.68,1865
1997-03-03,0.020000000000000462,68.53,4696.360900000001,321841.612477,22055805.70304881,0.88,0.48,1879
1997-03-18,1.2100000000000009,69.78999999999999,4870.644099999999,339922.2517389999,23723173.9488648,0.97,0.24,1894
1997-04-01,2.8900000000000006,66.85,4468.9225,298747.46912499995,19971268.311006244,1.0,0.0,1908
1997-04-15,1.1050000000000004,67.75999999999999,4591.417599999999,311114.45657599985,21081115.57758975,0.97,-0.23,1922
1997-04-28,2.96,68.46,4686.771599999999,320856.38373599993,21965828.03056655,0.9,-0.44,1935
1997-05-12,2.1899999999999995,70.55999999999999,4978.713599999998,351298.0316159998,24787589.110824943,0.76,-0.65,1949
1997-05-26,1.5600000000000005,72.52,5259.1503999999995,381393.58700799994,27658662.929820154,0.59,-0.81,1963
1997-06-09,0.79,74.27,5516.032899999999,409675.76348299993,30426618.953882404,0.38,-0.93,1977
1997-06-23,1.3500000000000005,73.71,5433.164099999999,400478.5258109999,29519272.1375288,0.15,-0.99,1991
1997-07-07,2.1899999999999995,73.21999999999998,5361.168399999998,392544.75024799973,28742126.613158535,-0.09,-1.0,2005
1997-07-21,4.71,71.67999999999999,5138.022399999999,368293.4456319999,26399274.182901748,-0.33,-0.94,2019
1997-08-04,7.09,73.21999999999998,5361.168399999998,392544.75024799973,28742126.613158535,-0.55,-0.84,2033
1997-08-18,7.3,72.30999999999999,5228.736099999998,378089.90739099984,27339681.203443192,-0.73,-0.68,2047
1997-09-01,7.0200000000000005,71.67999999999999,5138.022399999999,368293.4456319999,26399274.182901748,-0.87,-0.49,2061
1997-09-15,7.58,71.67999999999999,5138.022399999999,368293.4456319999,26399274.182901748,-0.96,-0.27,2075
1997-09-29,8.49,69.71999999999998,4860.878399999998,338900.44204799976,23628138.819586538,-1.0,-0.03,2089
1997-10-13,8.63,68.03999999999999,4629.441599999999,314987.2064639999,21431729.52781055,-0.98,0.21,2103
1997-10-27,7.93,67.69,4581.9361,310151.254609,20994138.424483206,-0.9,0.44,2117
1997-11-10,6.46,66.57,4431.564899999999,295009.27539299993,19638767.462912,-0.77,0.64,2131
